customer_id,first_name,last_name,customer_email,order_id,order_date,required_date,shipped_date,staff_id,store_name,store_email
259,Johnathan,Velazquez,johnathan.velazquez@hotmail.com,1,2016-01-01,2016-01-03,2016-01-03,2,"Santa Cruz Bikes",santacruz@bikes.shop
175,Nova,Hess,nova.hess@msn.com,4,2016-01-03,2016-01-04,2016-01-05,3,"Santa Cruz Bikes",santacruz@bikes.shop
60,Neil,Mccall,neil.mccall@gmail.com,9,2016-01-05,2016-01-08,2016-01-08,2,"Santa Cruz Bikes",santacruz@bikes.shop
91,Marvin,Mullins,marvin.mullins@aol.com,12,2016-01-06,2016-01-08,2016-01-09,2,"Santa Cruz Bikes",santacruz@bikes.shop
258,Maribel,William,maribel.william@aol.com,14,2016-01-09,2016-01-11,2016-01-12,3,"Santa Cruz Bikes",santacruz@bikes.shop
552,Lea,Key,lea.key@yahoo.com,16,2016-01-12,2016-01-15,2016-01-15,3,"Santa Cruz Bikes",santacruz@bikes.shop
1175,Sindy,Anderson,sindy.anderson@gmail.com,17,2016-01-12,2016-01-14,2016-01-14,3,"Santa Cruz Bikes",santacruz@bikes.shop
541,Lanita,Burton,lanita.burton@msn.com,18,2016-01-14,2016-01-17,2016-01-15,3,"Santa Cruz Bikes",santacruz@bikes.shop
696,Norine,Huffman,norine.huffman@aol.com,19,2016-01-14,2016-01-17,2016-01-16,2,"Santa Cruz Bikes",santacruz@bikes.shop
923,Randee,Pitts,randee.pitts@msn.com,20,2016-01-14,2016-01-16,2016-01-17,2,"Santa Cruz Bikes",santacruz@bikes.shop
1035,Tangela,Hurley,tangela.hurley@msn.com,22,2016-01-16,2016-01-18,2016-01-17,2,"Santa Cruz Bikes",santacruz@bikes.shop
1149,Drucilla,Gilliam,drucilla.gilliam@hotmail.com,23,2016-01-16,2016-01-19,2016-01-19,2,"Santa Cruz Bikes",santacruz@bikes.shop
1259,Kimbery,Nieves,kimbery.nieves@msn.com,32,2016-01-21,2016-01-24,2016-01-22,3,"Santa Cruz Bikes",santacruz@bikes.shop
348,Darren,Witt,darren.witt@aol.com,40,2016-01-27,2016-01-28,2016-01-29,3,"Santa Cruz Bikes",santacruz@bikes.shop
767,Twana,Arnold,twana.arnold@msn.com,52,2016-02-03,2016-02-04,2016-02-05,2,"Santa Cruz Bikes",santacruz@bikes.shop
151,Joesph,Delacruz,joesph.delacruz@aol.com,60,2016-02-06,2016-02-08,2016-02-07,3,"Santa Cruz Bikes",santacruz@bikes.shop
